,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
304,akdepe,0,TM,1527094800,23,42.05,59.39,77,11.41
305,ochamchira,92,GE,1527098902,100,42.71,41.47,68.22,5.1
306,vao,0,EE,1527098903,35,59.1,26.19,66.96,8.12
307,port lincoln,0,AU,1527098903,100,-34.72,135.86,53.1,7.23
308,greven,0,DE,1527096000,33,52.09,7.61,75.2,8.05
309,gbarnga,76,LR,1527098903,94,7,-9.47,78.03,6.22
310,cayenne,75,GF,1527096600,100,4.94,-52.33,77,2.24
311,rio gallegos,0,AR,1527094800,75,-51.62,-69.22,41,3.36
312,tuktoyaktuk,90,CA,1527095400,92,69.44,-133.03,24.8,14.99
313,les cayes,48,HT,1527098904,96,18.19,-73.75,81.54,19.53
314,kaeo,12,NZ,1527098904,70,-35.1,173.78,52.92,12.82
315,gamba,80,CN,1527098904,87,28.28,88.52,29.79,2.53
316,recke,0,DE,1527096000,33,52.37,7.72,75.2,8.05
317,arandis,0,NA,1527098905,67,-22.42,14.98,67.41,3.76
318,mahon,0,IE,1527096600,59,51.89,-8.4,62.6,8.05
320,sinnamary,92,GF,1527098906,100,5.38,-52.96,79.56,8.57
323,lavrentiya,80,RU,1527098906,100,65.58,-170.99,30.51,3.53
324,hofn,75,IS,1527094800,76,64.25,-15.21,48.2,13.87
325,tual,56,ID,1527098906,100,-5.67,132.75,81.81,13.71
326,bredasdorp,8,ZA,1527094800,53,-34.53,20.04,71.6,13.87
327,severo-kurilsk,8,RU,1527098907,100,50.68,156.12,32.94,4.43
328,itarema,88,BR,1527098874,71,-2.92,-39.92,85.5,12.48
329,garowe,80,SO,1527098907,33,8.41,48.48,86.4,12.48
331,salisbury,1,GB,1527097440,55,51.07,-1.8,69.8,12.75
332,skelleftea,0,SE,1527097800,34,64.75,20.95,55.4,6.93
333,nelson bay,75,AU,1527096960,93,-32.72,152.14,44.6,10.02
334,puerto del rosario,20,ES,1527096600,49,28.5,-13.86,71.6,20.8
335,berck,20,FR,1527096600,82,50.41,1.57,60.8,8.05
336,timon,75,BR,1527094800,46,-5.1,-42.84,89.6,8.05
337,taree,0,AU,1527096600,100,-31.91,152.46,44.6,2.08
339,airai,44,TL,1527098909,90,-8.93,125.41,65.34,1.41
340,comodoro rivadavia,0,AR,1527094800,58,-45.87,-67.48,57.2,6.93
341,diapaga,36,BF,1527098909,44,12.07,1.79,94.41,5.66
342,sovetskiy,20,RU,1527098910,32,56.76,48.47,71.01,15.17
343,ribeira grande,75,PT,1527096600,93,38.52,-28.7,64.4,2.24
344,ust-nera,8,RU,1527098910,76,64.57,143.24,19.26,1.97
346,fandriana,80,MG,1527098910,100,-20.24,47.38,57.06,4.54
347,arroyos y esteros,0,PY,1527094800,42,-25.05,-57.1,68,3.36
348,ahuimanu,40,US,1527094620,88,21.44,-157.84,75.2,12.75
349,isangel,12,VU,1527098911,100,-19.55,169.27,74.61,15.84
350,ambagarh chauki,44,IN,1527098911,61,20.78,80.75,82.08,8.23
351,porto torres,0,IT,1527097800,77,40.84,8.4,68,4.7
352,mayumba,88,GA,1527098912,96,-3.44,10.65,78.48,10.58
353,dijkot,0,PK,1527098912,22,31.22,73,80.55,7.56
354,paamiut,68,GL,1527098912,100,61.99,-49.67,34.2,8.46
355,yakeshi,20,CN,1527098912,72,49.28,120.73,42.3,8.57
356,anori,68,BR,1527098913,83,-3.74,-61.66,81.63,6.22
357,mbengwi,64,CM,1527098913,99,6,10.01,63.27,1.74
358,mulanje,64,MW,1527098913,76,-16.03,35.5,68.58,5.1
359,bandraboua,75,YT,1527098400,78,-12.7,45.12,80.6,9.17
360,buala,80,SB,1527098865,100,-8.15,159.59,79.56,4.76
363,saint-joseph,64,FR,1527096600,88,43.56,6.97,66.2,1.12
364,tuatapere,80,NZ,1527098914,100,-46.13,167.69,44.64,18.75
365,mataura,76,NZ,1527098914,89,-46.19,168.86,40.32,16.06
366,matagami,36,NG,1527098915,92,9.67,8.4,76.23,3.2
367,narsaq,75,GL,1527094200,55,60.91,-46.05,37.4,10.29
368,kruisfontein,0,ZA,1527098915,84,-34,24.73,64.98,12.26
369,kalanganan,32,PH,1527098915,99,8.08,124.25,67.68,1.97
370,butiama,76,TZ,1527098915,95,-1.77,33.97,64.98,0.18
371,mirador,92,BR,1527098916,58,-6.37,-44.36,85.41,8.12
372,starogard gdanski,0,PL,1527096600,62,53.96,18.53,59,8.05
373,barra,0,BR,1527098916,41,-11.09,-43.14,89.73,10.69
374,los llanos de aridane,75,ES,1527096600,49,28.66,-17.92,69.8,4.7
376,abaza,92,RU,1527098917,96,52.65,90.1,40.41,4.09
377,hermanus,8,ZA,1527098917,79,-34.42,19.24,60.48,8.12
378,najran,0,SA,1527094800,15,17.54,44.22,86,6.93
379,whitefish,90,US,1527094500,40,48.41,-114.33,69.8,2.98
380,havoysund,75,NO,1527096000,65,71,24.66,41,11.41
382,longyearbyen,75,NO,1527094200,64,78.22,15.63,37.4,3.36
383,lukovetskiy,20,RU,1527096600,65,64.29,41.92,46.4,13.04
384,ahipara,88,NZ,1527098919,89,-35.17,173.16,57.87,18.86
385,chumikan,68,RU,1527098919,80,54.72,135.31,34.83,9.57
386,kvitok,80,RU,1527098919,99,56.08,98.48,44.1,2.75
387,blenheim,24,NZ,1527098855,100,-41.52,173.96,41.4,8.68
388,makubetsu,64,JP,1527098919,91,42.84,143.34,50.22,2.53
390,mantua,20,IT,1527096000,77,45.16,10.79,71.6,5.82
391,aktau,0,KZ,1527096600,14,43.65,51.16,78.8,6.71
392,alice springs,0,AU,1527096600,75,-23.7,133.88,41,4.7
393,samana,75,EC,1527094800,94,0.12,-76.97,73.4,5.82
394,elbistan,0,TR,1527098921,86,38.2,37.19,53.82,2.64
395,rawson,0,AR,1527098921,49,-43.3,-65.11,57.69,9.46
396,kendari,88,ID,1527098921,97,-3.99,122.52,75.06,0.74
397,esperance,40,TT,1527094800,62,10.24,-61.45,87.8,19.46
398,the valley,40,AI,1527094800,62,18.22,-63.06,84.2,17.22
399,kalmunai,48,LK,1527098922,100,7.42,81.82,74.16,1.97
400,conceicao do mato dentro,0,BR,1527098862,77,-19.04,-43.42,74.61,4.09
401,lompoc,1,US,1527096900,63,34.64,-120.46,62.6,3.42
402,arkhara,0,RU,1527098922,93,49.42,130.09,38.43,2.53
403,alta floresta,24,BR,1527098922,50,-9.87,-56.08,90.63,3.76
404,talnakh,80,RU,1527098877,97,69.49,88.39,31.77,3.2
405,guiratinga,0,BR,1527098923,39,-16.35,-53.76,87.75,2.42
406,guerrero negro,12,MX,1527098923,71,27.97,-114.04,65.88,9.24
407,iquique,20,CL,1527094800,68,-20.22,-70.14,66.2,12.75
408,pisco,0,PE,1527096600,82,-13.71,-76.2,66.2,9.17
409,beringovskiy,92,RU,1527098924,96,63.05,179.32,31.68,13.04
410,bilma,0,NE,1527098924,10,18.69,12.92,93.42,5.66
411,saint-francois,0,FR,1527096600,68,46.42,3.91,66.2,3.36
412,mayor pablo lagerenza,0,PY,1527098924,47,-19.93,-60.77,77.04,5.44
413,san carlos de bariloche,0,AR,1527094800,53,-41.13,-71.31,51.8,3.36
414,bandarbeyla,92,SO,1527098925,95,9.49,50.81,86.13,16.73
415,chapais,1,CA,1527094800,31,49.78,-74.86,50,9.17
417,bima,88,ID,1527098925,93,-8.45,118.73,77.76,3.42
418,omboue,24,GA,1527098925,100,-1.57,9.26,81.36,13.71
419,kavaratti,20,IN,1527098875,100,10.57,72.64,86.4,17.74
420,kaitangata,92,NZ,1527098926,87,-46.28,169.85,37.8,10.13
422,sao filipe,0,CV,1527098926,93,14.9,-24.5,72.54,18.07
423,nouakchott,0,MR,1527098926,94,18.08,-15.98,68.67,18.75
424,gasa,64,BT,1527098926,86,27.91,89.73,28.98,0.74
425,moose factory,20,CA,1527094800,55,51.26,-80.61,39.2,4.7
426,uporovo,88,RU,1527098905,35,56.31,66.27,52.56,7.56
427,sibolga,92,ID,1527098927,100,1.74,98.78,69.84,1.07
428,cruzeiro,20,BR,1527094800,44,-22.58,-44.96,75.2,3.36
429,mega,32,ET,1527098928,100,4.06,38.32,56.34,1.19
430,saint anthony,90,US,1527094560,93,43.97,-111.68,53.6,9.17
432,esso,32,RU,1527098928,95,55.93,158.7,30.51,2.42
433,takoradi,36,GH,1527098928,98,4.89,-1.75,82.44,8.01
434,emerald,68,AU,1527098929,84,-23.53,148.16,48.78,3.98
436,murgab,0,TM,1527094800,21,37.5,61.97,78.8,6.93
437,bealanana,8,MG,1527098929,65,-14.54,48.75,66.24,9.24
438,saint-augustin,24,FR,1527096600,44,44.83,-0.61,77,6.93
439,mnogovershinnyy,64,RU,1527098930,59,53.94,139.92,41.94,7.78
440,manicore,36,BR,1527098930,75,-5.81,-61.3,84.78,3.65
442,pasewalk,0,DE,1527096600,45,53.51,13.99,68,9.17
443,pretoria,0,ZA,1527098400,42,-25.75,28.19,62.6,5.55
444,luderitz,0,NA,1527098931,91,-26.65,15.16,60.75,10.58
445,lahaina,40,US,1527094440,78,20.87,-156.68,75.2,11.41
446,kurilsk,88,RU,1527098931,88,45.23,147.88,47.88,9.8
447,vitim,68,RU,1527098931,83,59.44,112.57,38.43,4.54
448,ulverstone,0,AU,1527098932,87,-41.16,146.17,35.1,4.99
449,jasper,20,US,1527096900,62,33.83,-87.28,86,3.2
450,kuybyshevskiy zaton,0,RU,1527096600,42,55.16,49.17,68,11.18
452,soc trang,88,VN,1527098932,90,9.6,105.98,83.07,4.21
453,hay river,20,CA,1527094800,40,60.82,-115.79,71.6,10.29
454,patrasaer,12,IN,1527098933,72,23.2,87.53,83.88,13.49
455,kenai,20,US,1527094560,87,60.55,-151.26,46.4,4.7
456,becerril,8,CO,1527098933,52,9.7,-73.28,88.38,0.74
457,calvinia,0,ZA,1527098933,82,-31.47,19.78,44.91,2.53
458,noumea,75,NC,1527096600,93,-22.28,166.46,60.8,1.12
459,auki,0,NG,1527098934,52,12.18,6.51,88.38,2.08
460,virginia beach,40,US,1527098160,66,36.85,-75.98,86,10.29
461,dilla,92,ET,1527098934,97,6.41,38.31,58.14,2.64
462,ceres,0,AR,1527098934,64,-29.88,-61.95,67.86,5.77
463,butaritari,68,KI,1527098935,100,3.07,172.79,83.88,7.45
464,saint george,20,GR,1527097800,73,39.45,22.34,69.8,6.93
465,chake chake,0,TZ,1527098935,94,-5.25,39.77,82.44,19.3
466,tura,100,IN,1527098935,98,25.52,90.21,75.42,2.42
467,mangan,76,IN,1527098936,92,27.5,88.54,43.74,0.96
468,ciudad ojeda,75,VE,1527094800,70,10.22,-71.33,87.8,2.24
469,puerto escondido,40,MX,1527093600,74,15.86,-97.07,84.2,18.34
470,redmond,40,US,1527098280,49,47.67,-122.12,71.6,8.05
471,dawei,0,MM,1527098936,98,14.07,98.19,75.78,1.97
472,delijan,92,IR,1527098937,92,33.99,50.69,54.09,2.75
473,lagoa,40,PT,1527094800,72,37.14,-8.45,66.2,13.87
474,valparaiso,1,US,1527096900,49,41.47,-87.06,75.2,3.36
475,iquitos,75,PE,1527094800,88,-3.75,-73.25,78.8,3.36
477,camacha,40,PT,1527096600,88,33.08,-16.33,66.2,17.22
479,yeppoon,75,AU,1527096600,77,-23.13,150.74,64.4,8.05
480,san rafael,0,AR,1527098831,38,-34.61,-68.33,64.17,0.63
481,klaksvik,56,FO,1527097800,93,62.23,-6.59,48.2,10.29
482,mosetse,0,BW,1527098939,33,-20.64,26.64,67.5,8.68
483,tiznit,92,MA,1527098939,84,29.7,-9.73,63.45,8.79
484,caravelas,44,BR,1527098928,100,-17.73,-39.27,78.21,14.05
485,saint-philippe,75,CA,1527098100,60,45.36,-73.48,69.8,9.17
486,ramanuj ganj,8,IN,1527098940,63,23.81,83.7,86.31,5.1
488,angren,0,UZ,1527098940,45,41.01,70.08,53.91,3.53
489,puerto ayora,40,EC,1527094800,69,-0.74,-90.35,80.6,20.8
490,lorengau,48,PG,1527098941,100,-2.02,147.27,83.43,6.67
491,beyneu,0,KZ,1527098941,20,45.32,55.19,77.4,14.05
492,krasnoturansk,75,RU,1527096600,87,54.32,91.57,46.4,4.47
493,udimskiy,76,RU,1527098941,40,61.14,45.92,68.13,16.51
495,dikson,80,RU,1527098942,98,73.51,80.55,30.06,7
496,mehran,0,IR,1527094800,43,33.12,46.17,69.8,13.87
497,sur,0,OM,1527098942,79,22.57,59.53,85.95,3.53
498,miri,44,NG,1527098942,66,10.31,9.75,81.45,4.43
499,bulgan,64,MN,1527098943,42,48.81,103.53,57.51,3.98
501,sangar,44,RU,1527098943,46,63.92,127.47,51.93,8.68
502,suna,68,KE,1527098943,100,-1.08,34.43,68.04,2.19
503,tezu,48,IN,1527098943,88,27.93,96.16,64.44,1.52
504,punta arenas,0,CL,1527094800,80,-53.16,-70.91,41,6.93
505,new norfolk,20,AU,1527096600,61,-42.78,147.06,48.2,4.7
506,sitka,68,US,1527098944,49,37.17,-99.65,86.13,14.61
507,ponta do sol,0,BR,1527098944,32,-20.63,-46,79.11,4.21
508,husavik,12,CA,1527098944,53,50.56,-96.99,79.11,10.13
509,mandera,80,ET,1527098945,64,3.94,41.86,81.99,9.46
510,hambantota,68,LK,1527098945,100,6.12,81.12,80.37,18.19
512,ferkessedougou,56,CI,1527098945,59,9.6,-5.2,89.1,5.44
513,avarua,75,CK,1527094800,88,-21.21,-159.78,75.2,5.82
514,areni,75,AM,1527096600,37,39.72,45.19,71.6,6.93
515,ulaangom,24,MN,1527098946,38,49.98,92.07,48.96,10.25
516,san quintin,0,PH,1527098833,87,17.54,120.52,73.53,3.76
517,bubaque,0,GW,1527094800,43,11.28,-15.83,91.4,11.41
518,georgetown,75,GY,1527094800,88,6.8,-58.16,78.8,4.7
519,buraydah,0,SA,1527094800,23,26.33,43.97,93.2,9.17
520,gallatin,20,US,1527098160,51,36.39,-86.45,86,3.36
521,codrington,0,AU,1527098947,92,-28.95,153.24,48.24,2.53
522,mount isa,80,AU,1527096600,60,-20.73,139.49,66.2,8.05
524,campo grande,0,BR,1527094800,41,-20.46,-54.62,75.2,4.7
525,matara,0,PE,1527094800,47,-13.74,-72.9,57.2,2.53
526,telma,20,RU,1527096600,71,52.7,103.72,51.8,4.47
527,am timan,12,TD,1527098949,31,11.04,20.28,89.37,4.76
528,brae,20,GB,1527096000,62,60.4,-1.35,53.6,10.29
529,harare,56,ZW,1527098949,50,-17.83,31.05,63,4.65
530,henties bay,0,NA,1527098949,85,-22.12,14.28,65.7,5.77
531,baoding,0,CN,1527098950,72,38.86,115.49,55.26,3.65
532,batemans bay,0,AU,1527098950,100,-35.71,150.18,49.23,3.76
533,clyde river,1,CA,1527094800,74,70.47,-68.59,28.4,12.75
535,labuhan,20,ID,1527098950,96,-2.54,115.51,74.97,1.74
536,rikitea,56,PF,1527098878,100,-23.12,-134.97,76.23,3.2
538,constitucion,5,MX,1527093720,17,23.99,-104.67,75.2,3.36
540,montrose,75,AU,1527096600,76,-37.81,145.34,53.6,10.29
541,teonthar,0,IN,1527098951,45,24.98,81.65,91.98,11.14
542,salalah,0,OM,1527094200,52,17.01,54.1,87.8,6.93
543,faanui,80,PF,1527098952,100,-16.48,-151.75,82.08,16.73
544,okha,92,RU,1527098952,85,53.59,142.95,35.55,14.16
545,wenshang,8,CN,1527098952,75,35.72,116.48,60.66,10.02
546,royal tunbridge wells,40,GB,1527096000,67,51.14,0.27,62.6,13.87
547,shimoda,40,JP,1527096060,100,34.7,138.93,62.6,1.12
548,svetlaya,0,RU,1527098953,89,46.54,138.33,45.99,8.46
549,namatanai,48,PG,1527098953,100,-3.66,152.44,82.26,7.45
550,cabedelo,40,BR,1527094800,62,-6.97,-34.84,84.2,13.87
551,bonthe,76,SL,1527098954,91,7.53,-12.5,79.83,4.54
552,mozarlandia,0,BR,1527098954,45,-14.74,-50.57,89.19,7.23
553,bodrum,0,TR,1527097800,73,37.04,27.43,73.4,6.93
554,zonguldak,0,TR,1527098908,90,41.25,31.83,65.16,4.54
555,tabas,20,IR,1527098954,16,33.6,56.92,73.8,8.57
556,cambridge,12,GB,1527096000,67,52.2,0.12,60.8,10.29
557,aklavik,90,CA,1527097200,92,68.22,-135.01,28.4,12.75
558,umarkot,0,PK,1527098955,21,25.37,69.74,86.13,10.69
559,pacific grove,75,US,1527096900,77,36.62,-121.92,59,9.17
561,dunedin,88,NZ,1527098955,94,-45.87,170.5,34.74,8.57
562,maldonado,40,UY,1527094800,59,-34.91,-54.96,62.6,14.99
563,suez,12,EG,1527098956,24,29.97,32.54,86.4,7.23
564,ponta delgada,40,PT,1527096600,72,37.73,-25.67,64.4,18.34
565,portland,20,US,1527098160,52,45.52,-122.67,71.6,4.7
566,swift current,1,CA,1527094800,31,50.29,-107.8,77,10.29
568,thompson,75,CA,1527094800,23,55.74,-97.86,77,12.75
569,tupik,56,RU,1527098957,93,54.43,119.94,33.3,1.97
570,kodiak,40,US,1527094380,48,39.95,-94.76,87.8,12.75
571,synya,92,RU,1527098957,98,65.37,58.04,36.72,11.7
572,ixtapa,5,MX,1527093960,70,20.71,-105.21,84.2,8.05
573,chuy,0,UY,1527098958,77,-33.69,-53.46,61.83,13.82
574,buenos aires,0,AR,1527094800,42,-34.61,-58.44,66.2,10.29
575,terney,0,RU,1527098959,84,45.05,136.61,44.37,7.78
576,steinbach,75,CA,1527094800,42,49.53,-96.69,82.4,16.11
577,poya,36,NC,1527098960,100,-21.35,165.16,73.53,11.7
578,kununurra,0,AU,1527096600,40,-15.77,128.74,68,5.82
579,seara,0,BR,1527098960,60,-27.15,-52.31,61.92,4.76
580,gotsu,8,JP,1527098961,91,35.01,132.22,49.59,4.99
581,kapaa,20,US,1527094560,83,22.08,-159.32,75.2,16.11
582,ankang,80,CN,1527098961,80,32.73,108.99,55.44,2.08
584,usinsk,88,RU,1527098961,94,66,57.56,34.83,16.06
585,norman wells,40,CA,1527098400,58,65.28,-126.83,59,12.75
586,hegang,8,CN,1527098962,86,47.34,130.28,37.62,2.64
587,zelenets,36,RU,1527098867,33,53.83,48.02,68.4,8.57
588,ilulissat,20,GL,1527094200,55,69.22,-51.1,39.2,4.7
589,axim,32,GH,1527098962,98,4.87,-2.24,82.26,11.81
590,victoria,75,BN,1527096600,88,5.28,115.24,82.4,2.24
591,sumbe,8,AO,1527098963,96,-11.2,13.84,78.03,5.21
593,raudeberg,20,NO,1527096000,81,61.99,5.14,68,10.29
594,high level,75,CA,1527094800,43,58.52,-117.13,71.6,2.24
595,mango,20,IT,1527097800,82,44.69,8.15,69.8,1.12
596,hamilton,75,BM,1527094500,69,32.3,-64.78,78.8,18.34
597,inhumas,0,BR,1527094800,35,-16.36,-49.5,86,5.82
598,mitsamiouli,75,KM,1527098400,69,-11.38,43.28,82.4,12.75
599,hasaki,75,JP,1527096600,100,35.73,140.83,62.6,8.05
600,san policarpo,36,PH,1527098965,100,12.18,125.51,80.28,8.57
601,onega,32,RU,1527098965,73,63.91,38.09,47.79,9.69
602,nha trang,32,VN,1527098966,100,12.24,109.19,79.74,3.65
603,zhob,36,PK,1527098966,21,31.34,69.45,56.88,4.65
604,ankazoabo,8,MG,1527098966,60,-22.29,44.51,68.94,5.77
605,bequimao,75,BR,1527094800,70,-2.45,-44.78,86,11.41
606,araouane,0,ML,1527098948,10,18.9,-3.53,109.44,7.56
